word,level,meaning,example1,example2,category,toeic_frequency,part_of_speech
accomplish,B2,To achieve or complete successfully,We need to accomplish our goals by the end of the quarter.,The team accomplished the project ahead of schedule.,business,high,verb
acquisition,B2,The act of acquiring or gaining possession,The company announced the acquisition of a new subsidiary.,The acquisition of new skills is essential for career growth.,business,high,noun
adequate,B1,Sufficient or acceptable in quality or quantity,The current budget is adequate for our needs.,We need adequate time to complete this project.,business,medium,adjective
administration,B2,The process of managing or organizing,The administration of the company is very efficient.,Good administration is crucial for business success.,business,high,noun
advancement,B2,Progress or development,There are many opportunities for career advancement here.,The advancement of technology has changed our lives.,business,high,noun
agenda,B1,A list of items to be discussed at a meeting,Please review the agenda before the meeting.,The agenda for tomorrow's conference is quite full.,business,high,noun
allocate,B2,To distribute or assign resources,We need to allocate more budget to marketing.,The manager will allocate tasks to team members.,business,medium,verb
analysis,B2,Detailed examination of something,The financial analysis shows positive growth.,We need a thorough analysis of the market trends.,business,high,noun
announcement,B1,A public statement about something,The company made an important announcement today.,The announcement of the new product was well-received.,business,high,noun
application,B1,A formal request for something,Please submit your application by Friday.,The job application process takes about two weeks.,business,high,noun
appointment,B1,A scheduled meeting,I have an appointment with the client at 3 PM.,Please confirm your appointment by calling our office.,business,high,noun
approach,B2,A way of dealing with something,We need a new approach to solve this problem.,The company's approach to customer service is excellent.,business,high,noun
appropriate,B1,Suitable or proper,Please wear appropriate attire for the meeting.,This is not an appropriate time to discuss salary.,business,high,adjective
approval,B1,Official permission or agreement,We need management approval for this project.,The proposal received unanimous approval from the board.,business,high,noun
arrangement,B1,Plans or preparations for something,We need to make arrangements for the conference.,The travel arrangements have been confirmed.,business,medium,noun
assessment,B2,Evaluation or judgment,The assessment of the project will take two weeks.,We need a proper assessment of the risks involved.,business,medium,noun
assignment,B1,A task or piece of work,I have a new assignment from my supervisor.,The assignment deadline is next Monday.,business,medium,noun
assistance,B1,Help or support,Thank you for your assistance with the project.,We need technical assistance to solve this issue.,business,medium,noun
associate,B2,A colleague or partner,My associate will handle the presentation.,She is an associate professor at the university.,business,medium,noun
assume,B2,To take for granted or suppose,I assume you have read the report.,We assume the project will be completed on time.,business,high,verb
